"STATION","DATE","AWND","PRCP","SNOW","TAVG","WSF2","WT01","WT02","WT03","WT04","WT05","WT06","WT08","WT09","WT13","WT14","WT15","WT16","WT18","WT22"
"USW00094789","2013-09-06","7.61","0.00","0.0","65","16.1",,,,,,,,,,,,,,
"USW00094789","2013-09-07","11.63","0.00","0.0","67","19.9",,,,,,,,,,,,,,
"USW00094789","2013-09-08","12.97","0.00","0.0","74","23.0",,,,,,,,,,,,,,
"USW00094789","2013-09-09","9.17","0.00","0.0","65","17.0",,,,,,,,,,,,,,
"USW00094789","2013-09-10","12.30","0.00","0.0","73","21.9",,,,,,,,,,,,,,
"USW00094789","2013-09-11","10.74","0.00","0.0","78","23.9",,,,,,,,,,,,,,
"USW00094789","2013-09-12","10.07","0.29","0.0","75","25.9",,,,,,,,,,,,,,
"USW00094789","2013-09-13","12.30","0.09","0.0","73","23.9","    1",,,,,,,,,,,,,
"USW00094789","2013-09-14","12.30","0.00","0.0","62","23.0",,,,,,,,,,,,,,
"USW00094789","2013-09-15","9.17","0.00","0.0","61","17.0",,,,,,,,,,,,,,
"USW00094789","2013-09-16","10.29","0.02","0.0","66","21.0",,,,,,,,,,,,,,
"USW00094789","2013-09-17","10.51","0.00","0.0","59","23.0",,,,,,,,,,,,,,
"USW00094789","2013-09-18","7.83","0.00","0.0","60","15.0",,,,,,,,,,,,,,
"USW00094789","2013-09-19","10.29","0.00","0.0","64","16.1",,,,,,,,,,,,,,
"USW00094789","2013-09-20","8.28","0.00","0.0","66","16.1",,,,,,,,,,,,,,
"USW00094789","2013-09-21","11.86","0.33","0.0","67","28.0","    1",,,,,,,,,,,,,
"USW00094789","2013-09-22","14.76","1.16","0.0","67","25.1","    1",,,,,,,,,,,,,
"USW00094789","2013-09-23","11.41","0.00","0.0","59","18.1",,,,,,,,,,,,,,
"USW00094789","2013-09-24","8.95","0.00","0.0","59","15.0",,,,,,,,,,,,,,
"USW00094789","2013-09-25","6.49","0.00","0.0","63","14.1",,,,,,,,,,,,,,
"USW00094789","2013-09-26","6.93","0.00","0.0","62","15.0",,,,,,,,,,,,,,
"USW00094789","2013-09-27","7.38","0.00","0.0","61","14.1",,,,,,,,,,,,,,
"USW00094789","2013-09-28","6.49","0.00","0.0","64","15.0",,,,,,,,,,,,,,
"USW00094789","2013-09-29","6.26","0.00","0.0","62","13.0",,,,,,,,,,,,,,
"USW00094789","2013-09-30","6.49","0.00","0.0","61","13.0",,,,,,,,,,,,,,
"USW00094789","2013-10-01","8.05","0.00","0.0","67","17.0",,,,,,,,,,,,,,
"USW00094789","2013-10-02","9.17","0.00","0.0","71","21.0",,,,,,,,,,,,,,
"USW00094789","2013-10-03","6.26","0.00","0.0","71","14.1",,,,,,,,,,,,,,
"USW00094789","2013-10-04","6.49","0.00","0.0","70","17.0",,,,,,,,,,,,,,
"USW00094789","2013-10-05","6.71","0.01","0.0","68","12.1",,,,,,,,,,,,,,
"USW00094789","2013-10-06","9.84","0.00","0.0","66","17.0",,,,,,,,,,,,,,
"USW00094789","2013-10-07","16.55","0.26","0.0","70","33.1","    1",,,,,,,,,,,,,
"USW00094789","2013-10-08","11.41","0.00","0.0","62","18.1",,,,,,,,,,,,,,
"USW00094789","2013-10-09","10.74","0.00","0.0","59","21.0",,,,,,,,,,,,,,
